"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"경기도","안성군",계,0,0,0,0,0,0,0,0,0,0
"경기도","김포군",계,0,0,0,0,0,0,0,0,0,0
"강원특별자치도","춘천시",계,2284,-199,165,742,1682,3197,3283,668,488,-29
"강원특별자치도","원주시",계,4275,3087,2609,4966,5161,4202,3967,1354,1351,1765
"강원특별자치도","강릉시",계,-497,540,-392,1193,612,1152,-278,-819,-511,-323
"강원특별자치도","동해시",계,-631,-409,-1359,-523,355,-12,-63,-366,-490,-808
"강원특별자치도","태백시",계,-348,-1000,-893,-837,-952,-1014,-800,-415,-445,-451
"강원특별자치도","속초시",계,-192,714,-427,246,1075,610,457,-358,-721,-894
"강원특별자치도","삼척시",계,-1025,-738,128,-868,-1717,-1066,574,-392,-395,-754
"강원특별자치도","홍천군",계,23,537,-74,-421,548,-106,228,-135,-54,-62
"강원특별자치도","횡성군",계,424,593,800,174,251,541,611,279,204,40
"강원특별자치도","영월군",계,69,336,-76,-303,-185,-57,305,-10,-178,-258
"강원특별자치도","평창군",계,27,2,-223,-286,-136,-146,497,73,93,-187
"강원특별자치도","정선군",계,-289,-280,-216,-206,-153,-347,-290,-389,-331,1767
"강원특별자치도","철원군",계,-770,-769,-705,-768,-810,-1010,-796,-602,-727,-242
"강원특별자치도","화천군",계,-782,-256,-930,-176,-12,-492,-706,-338,-23,-425
"강원특별자치도","양구군",계,-142,-205,-410,-645,-463,-438,-269,-250,-343,-107
"강원특별자치도","인제군",계,-625,-218,-448,-448,34,608,169,-98,-413,-596
"강원특별자치도","고성군",계,195,105,-1668,-739,-267,830,301,273,-85,64
"강원특별자치도","양양군",계,-104,195,265,560,434,229,304,128,53,113
"충청북도","청주시",계,-716,-2449,-158,568,4485,3814,2481,2830,2600,1526
"충청북도","충주시",계,490,369,2691,778,61,480,193,584,481,404
"충청북도","제천시",계,502,239,-722,-309,-1102,-476,431,-57,-806,369
"충청북도","청원군",계,0,0,0,0,0,0,0,0,0,0
"충청북도","보은군",계,169,101,-79,-373,-108,-10,165,-25,-21,452
"충청북도","옥천군",계,107,-140,80,-14,-75,287,74,-73,-137,1950
"충청북도","영동군",계,227,-7,-227,-538,-808,-957,-141,-155,-46,53
"충청북도","증평군",계,462,319,-539,38,-505,-247,953,284,-178,-344
"충청북도","진천군",계,1872,3705,4503,2775,2586,1668,1081,394,437,295
"충청북도","괴산군",계,548,479,514,393,635,-667,-523,92,141,2503
"충청북도","음성군",계,1385,-353,-1202,-512,-1375,-132,616,-239,754,3763
"충청북도","단양군",계,-35,-1,288,-241,-340,-298,-129,238,20,-182
"충청남도","천안시",계,8534,10868,12012,3978,4697,-668,-956,-1686,3778,4157
"충청남도","공주시",계,-933,-974,-366,-563,-1274,-234,512,460,179,-315
"충청남도","보령시",계,-607,-286,-695,-421,-321,-756,-257,-521,-1113,-863
"충청남도","아산시",계,3134,6973,236,822,1210,8884,10415,11154,8885,3839
"충청남도","서산시",계,78,644,2224,400,936,1475,231,120,-1103,-1380
"충청남도","논산시",계,-712,-395,-1373,-795,-1386,-741,-583,-1111,-866,-639
"충청남도","계룡시",계,646,1191,-327,-792,-155,556,1182,2258,-140,-738
"충청남도","당진시",계,811,317,49,-863,-649,1378,1845,2615,2222,1129
"충청남도","금산군",계,36,-389,-283,-524,-363,-161,271,657,150,-113
"충청남도","연기군",계,0,0,0,0,0,0,0,0,0,0
"충청남도","논산군",계,0,0,0,0,0,0,0,0,0,0
"충청남도","부여군",계,-421,-475,-364,-643,-673,-458,-302,-352,-568,-231
"충청남도","서천군",계,-345,-319,-710,-583,-388,-306,98,-80,-167,-186
"충청남도","청양군",계,564,456,-185,-230,-385,0,256,334,-35,794
"충청남도","홍성군",계,5617,1776,-230,-279,17,-60,-437,140,2241,1934
"충청남도","예산군",계,-1702,-404,402,-239,-448,-255,1558,1819,1217,901
"충청남도","태안군",계,618,418,-306,-62,-77,-132,481,33,-16,-23
"충청남도","당진군",계,0,0,0,0,0,0,0,0,0,0
"전북특별자치도","전주시",계,-2424,-3882,1498,3090,3146,884,-4156,-7550,-5745,-8777
"전북특별자치도","군산시",계,-1295,-2531,-2070,-1997,-1768,-847,-1329,-1228,-568,-575
"전북특별자치도","익산시",계,-1686,-74,-5719,-5551,-4597,-2642,-2350,-1953,-558,431
"전북특별자치도","정읍시",계,-316,-663,-889,-978,-1132,-655,-288,-380,-421,158
"전북특별자치도","남원시",계,-358,-461,-290,-707,-187,-540,-638,-435,-405,-567
"전북특별자치도","김제시",계,-389,-213,-934,-751,-644,-312,1464,801,63,1956
"전북특별자치도","완주군",계,133,561,-1327,-1912,-247,209,2067,5941,1826,1540
"전북특별자치도","진안군",계,36,414,-166,-75,-133,-74,-94,212,-18,415
"전북특별자치도","무주군",계,-72,55,38,-32,8,6,104,92,55,54
"전북특별자치도","장수군",계,499,-457,400,-581,-182,-141,-78,-97,-79,544
"전북특별자치도","임실군",계,129,203,130,-895,-1344,-250,131,-187,-42,5
"전북특별자치도","순창군",계,-192,-94,-298,-587,-352,-541,277,388,357,1230
"전북특별자치도","고창군",계,977,422,-2966,-1078,-446,-380,-206,148,-71,160
"전북특별자치도","부안군",계,539,-486,-1180,-694,-616,-518,-19,-209,-454,-149
"전라남도","목포시",계,-1005,-3335,-1854,-2207,-5255,-4140,-385,-1850,-3333,-6896
"전라남도","여수시",계,-1651,-2581,-2866,-305,-2004,-2176,-744,-1864,-2798,-3456
"전라남도","순천시",계,-649,529,-27,-47,2713,-138,-1947,-46,-1369,-419
"전라남도","나주시",계,6168,5756,3746,998,1232,1840,398,1361,-308,818
"전라남도","여천시",계,0,0,0,0,0,0,0,0,0,0
"전라남도","광양시",계,1319,-291,242,-200,-5230,-1161,1860,530,2120,378
"전라남도","담양군",계,375,305,-101,-43,53,450,158,33,-314,-45
"전라남도","곡성군",계,-58,10,-222,-450,-478,-108,57,247,43,1097
"전라남도","구례군",계,294,308,-162,-350,-588,-107,-203,7,54,135
"전라남도","여천군",계,0,0,0,0,0,0,0,0,0,0
